fdc_id,data_type,description,food_category_id
319874,sample_food,"HUMMUS, SABRA CLASSIC",16
319875,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319876,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319877,sub_sample_food,Hummus,16
319878,sub_sample_food,Hummus,16
319879,sample_food,"HUMMUS, SABRA CLASSIC",16
319880,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319881,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319882,sub_sample_food,Hummus,16
319883,sub_sample_food,Hummus,16
319884,sub_sample_food,Hummus,16
319885,sample_food,"HUMMUS, SABRA CLASSIC",16
319886,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319887,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319888,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319889,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319890,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319891,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319892,sub_sample_food,Hummus,16
319893,sub_sample_food,Hummus,16
319894,sample_food,"HUMMUS, OTHER",16
319895,market_acquisition,"HUMMUS, OTHER",16
319896,market_acquisition,"HUMMUS, OTHER",16
319897,market_acquisition,"HUMMUS, OTHER",16
319898,market_acquisition,"HUMMUS, OTHER",16
319899,sub_sample_food,Hummus,16
319900,sub_sample_food,Hummus,16
319901,sample_food,"HUMMUS, SABRA CLASSIC",16
319902,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319903,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319904,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319905,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319906,sub_sample_food,Hummus - NFY12140O,16
319907,sub_sample_food,Hummus - NFY12140P,16
319908,sub_sample_food,Hummus,16
319909,sub_sample_food,Hummus,16
319910,sub_sample_food,Hummus,16
319911,sub_sample_food,Hummus,16
319912,sub_sample_food,Hummus,16
319913,sub_sample_food,Hummus,16
319914,sub_sample_food,Hummus,16
319915,sub_sample_food,Hummus - NFY12140Q,16
319916,sub_sample_food,Hummus - NFY12140R,16
319917,sub_sample_food,Hummus - NFY12140S,16
319918,sub_sample_food,Hummus - NFY12140F,16
319919,sub_sample_food,Hummus - NFY12140G,16
319920,sub_sample_food,"Hummus, Sabra Classic - CA1, IN",16
319921,sample_food,"HUMMUS, SABRA CLASSIC",16
319922,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319923,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319924,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319925,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319926,sub_sample_food,Hummus - NFY12141C,16
319927,sub_sample_food,Hummus - NFY12141D,16
319928,sub_sample_food,Hummus,16
319929,sub_sample_food,Hummus,16
319930,sub_sample_food,Hummus,16
319931,sub_sample_food,Hummus,16
319932,sub_sample_food,Hummus,16
319933,sub_sample_food,Hummus - NFY12141E,16
319934,sub_sample_food,Hummus - NFY12141F,16
319935,sub_sample_food,Hummus - NFY12141G,16
319936,sub_sample_food,Hummus - NFY12141H,16
319937,sub_sample_food,Hummus - NFY121416,16
319938,sub_sample_food,"Hummus, Sabra Classic - GA, NJ",16
319939,sample_food,"HUMMUS, SABRA CLASSIC",16
319940,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319941,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319942,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319943,market_acquisition,"HUMMUS, SABRA CLASSIC",16
319944,sub_sample_food,Hummus - NFY1213ZV,16
319945,sub_sample_food,Hummus - NFY1213ZW,16
319946,sub_sample_food,Hummus,16
319947,sub_sample_food,Hummus,16
319948,sub_sample_food,Hummus,16
319949,sub_sample_food,Hummus,16
319950,sub_sample_food,Hummus,16
319951,sub_sample_food,Hummus - NFY1213ZX,16
319952,sub_sample_food,Hummus - NFY1213ZY,16
319953,sub_sample_food,Hummus - NFY1213ZZ,16
319954,sub_sample_food,Hummus - NFY121400,16
319955,sub_sample_food,Hummus,16
319956,sub_sample_food,Hummus - NFY1213ZP,16
319957,sub_sample_food,"Hummus, Sabra Classic - KY, CA2",16
319958,sample_food,"HUMMUS, TRIBE CLASSIC",16
319959,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319960,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319961,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319962,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319963,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319964,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319965,sub_sample_food,Hummus - NFY12143C,16
319966,sub_sample_food,Hummus - NFY12143D,16
319967,sub_sample_food,Hummus,16
319968,sub_sample_food,Hummus,16
319969,sub_sample_food,Hummus,16
319970,sub_sample_food,Hummus,16
319971,sub_sample_food,Hummus,16
319972,sub_sample_food,Hummus,16
319973,sub_sample_food,Hummus - NFY12143E,16
319974,sub_sample_food,Hummus - NFY12143F,16
319975,sub_sample_food,Hummus - NFY12143G,16
319976,sub_sample_food,Hummus - NFY121435,16
319977,sub_sample_food,"Hummus, Tribe Classic - GA, NJ",16
319978,sample_food,"HUMMUS, OTHER",16
319979,market_acquisition,"HUMMUS, OTHER",16
319980,market_acquisition,"HUMMUS, OTHER",16
319981,sub_sample_food,Hummus,16
319982,sub_sample_food,Hummus,16
319983,sub_sample_food,Hummus,16
319984,sample_food,"HUMMUS, TRIBE CLASSIC",16
319985,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319986,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319987,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319988,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319989,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319990,market_acquisition,"HUMMUS, TRIBE CLASSIC",16
319991,sub_sample_food,Hummus - NFY12141W,16
319992,sub_sample_food,Hummus - NFY12141X,16
319993,sub_sample_food,Hummus,16
319994,sub_sample_food,Hummus,16
319995,sub_sample_food,Hummus,16
319996,sub_sample_food,Hummus,16
319997,sub_sample_food,Hummus,16
319998,sub_sample_food,Hummus,16
319999,sub_sample_food,Hummus - NFY12141Y,16
320000,sub_sample_food,Hummus - NFY12141Z,16
320001,sub_sample_food,Hummus - NFY121420,16
320002,sub_sample_food,Hummus - NFY121421,16
320003,sub_sample_food,Hummus - NFY12141P,16
320004,sub_sample_food,"Hummus, Tribe Classic - KY, PA",16
320005,sample_food,"HUMMUS, OTHER",16
320006,market_acquisition,"HUMMUS, OTHER",16
320007,market_acquisition,"HUMMUS, OTHER",16
320008,market_acquisition,"HUMMUS, OTHER",16
320009,market_acquisition,"HUMMUS, OTHER",16
320010,market_acquisition,"HUMMUS, OTHER",16
320011,sub_sample_food,Hummus - NFY12142M,16
320012,sub_sample_food,Hummus - NFY12142N,16
320013,sub_sample_food,Hummus,16
320014,sub_sample_food,Hummus,16
320015,sub_sample_food,Hummus,16
320016,sub_sample_food,Hummus,16
320017,sub_sample_food,Hummus,16
320018,sub_sample_food,Hummus - NFY12142O,16
320019,sub_sample_food,Hummus - NFY12142P,16
320020,sub_sample_food,Hummus - NFY12142Q,16
320021,sub_sample_food,Hummus - NFY12142R,16
320022,sub_sample_food,Hummus - NFY12142G,16
320023,sub_sample_food,"Hummus, Other - AZ, IN",16
320025,sample_food,"MILK, 2% (WAVE 22E)",1
320026,market_acquisition,"MILK, 2% (WAVE 22E)",1
320027,sub_sample_food,"MILK, 2% ",1
320028,sub_sample_food,"MILK, 2% ",1
320029,sub_sample_food,"MILK, 2% ",1
320030,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320031,sample_food,"MILK, 2% (WAVE 22E)",1
320032,market_acquisition,"MILK, 2% (WAVE 22E)",1
320033,sub_sample_food,"MILK, 2% ",1
320034,sub_sample_food,"MILK, 2% ",1
320035,sub_sample_food,"MILK, 2% ",1
320036,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320037,sample_food,"MILK, 2% (WAVE 22E)",1
320038,market_acquisition,"MILK, 2% (WAVE 22E)",1
320039,sub_sample_food,"MILK, 2% ",1
320040,sub_sample_food,"MILK, 2% ",1
320041,sub_sample_food,"MILK, 2% ",1
320042,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320043,sample_food,"MILK, 2% (WAVE 22E)",1
320044,market_acquisition,"MILK, 2% (WAVE 22E)",1
320045,sub_sample_food,"MILK, 2% ",1
320046,sub_sample_food,"MILK, 2% ",1
320047,sub_sample_food,"MILK, 2% ",1
320048,sub_sample_food,"MILK, 2% ",1
320049,sub_sample_food,"MILK, 2% ",1
320050,sub_sample_food,"MILK, 2% ",1
320051,sub_sample_food,"MILK, 2% ",1
320052,sub_sample_food,"MILK, 2% ",1
320053,sub_sample_food,"MILK, 2% ",1
320054,sub_sample_food,"MILK, 2% ",1
320055,sub_sample_food,"Milk, 2%",1
320056,sub_sample_food,"Milk, 2%",1
320057,sub_sample_food,"Milk, 2%",1
320058,sub_sample_food,"Milk, 2%",1
320059,sub_sample_food,"Milk, 2%",1
320060,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320061,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320062,sample_food,"MILK, 2% (WAVE 22E)",1
320063,market_acquisition,"MILK, 2% (WAVE 22E)",1
320064,sub_sample_food,"MILK, 2% ",1
320065,sub_sample_food,"MILK, 2% ",1
